Time (s),Induced Drag in Wind Axes (N),Crosswind Force in Wind Axes (N),Lift in Wind Axes (N),Induced Drag Coefficient in Wind Axes,Crosswind Force Coefficient in Wind Axes,Lift Coefficient in Wind Axes,Rolling Moment in Wind Axes Relative to the CG (N*m),Pitching Moment in Wind Axes Relative to the CG (N*m),Yawing Moment in Wind Axes Relative to the CG (N*m),Rolling Moment Coefficient in Wind Axes Relative to the CG,Pitching Moment Coefficient in Wind Axes Relative to the CG,Yawing Moment Coefficient in Wind Axes Relative to the CG
0.0,48.67556490279942,7.06273405710706e-15,590.1693426060726,0.04775572985120291,6.929267699627603e-18,0.5790167561124023,9.26419586869362e-15,-21.971415876752857,4.2693149243855283e-14,9.089127903855478e-19,-0.021556216207329434,4.188636548662598e-18
0.01292,13.443918558079824,3.579156495972301e-15,291.97703412447424,0.01318986526573027,3.511520226999996e-18,0.28645946672109246,-2.6788661513957195e-13,-51.306452349936144,3.1964353100850625e-14,-2.6282429076899746e-17,-0.050336900720925226,3.1360314248040534e-18
0.02584,12.158710286189,1.9913940760313822e-15,299.0690820704043,0.011928943915202304,1.9537621743506692e-18,0.2934174943572162,1.2573518064151245e-13,-51.98741308187404,-3.4170873808695387e-15,1.2335912960638146e-17,-0.05100499315742067,-3.3525137749223145e-19
0.038759999999999996,11.561334863965289,6.503724520446501e-16,308.52464209607956,0.011342857254668793,6.380821914348747e-19,0.3026943701588571,-8.37176362408857e-14,-53.686165376745116,6.1617426687120135e-15,-8.21356018791901e-18,-0.05267164367991535,6.04530258430997e-19
0.05168,11.148130235173795,3.077745478108498e-15,317.74269591351094,0.010937461063268901,3.0195845060415043e-18,0.31173822797002315,5.924279062417934e-13,-55.609905012507504,-2.2407909706121476e-14,5.812326390724586e-17,-0.054559029897886836,-2.198446149711025e-18
0.06459999999999999,10.812463679279992,2.923819580453624e-15,326.2671542920281,0.010608137687251416,2.868567386873211e-18,0.3201015973991241,1.458342969197684e-13,-57.59989322866101,2.0421276714172577e-14,1.4307842755698633e-17,-0.05651141277926637,2.0035370435374215e-18
0.07751999999999999,11.483031682613854,3.133558823602221e-16,351.6183635119893,0.011271761494443477,3.075906142620095e-19,0.34514912438798573,-3.379581366994832e-13,-71.91768126627504,3.4159430144456094e-14,-3.31740224818049e-17,-0.07059450612630677,3.3530948970330367e-18
0.09043999999999999,11.484645458369071,2.2683528921539375e-15,360.6970887546642,0.011278764701262692,2.2276890151092375e-18,0.3542310128110867,-3.8266552695982126e-14,-72.9110246817501,1.1285078281634433e-15,-3.758056313979963e-18,-0.07160397719671509,1.1082775087421803e-19
0.10336,11.431913416593018,-1.7546162858678397e-14,368.6167335050886,0.011232077558040747,-1.7239446704401666e-17,0.36217311914829997,7.791881706956274e-13,-73.45556564426622,-1.3288136275968217e-13,7.655675516976977e-17,-0.0721715237266063,-1.3055852665648582e-17
0.11628,11.340410818250884,-1.484720028175459e-14,375.54323709422573,0.011146956898453271,-1.459392470483253e-17,0.3691369161563245,1.3815558417409532e-13,-73.67600345687146,-5.29964264286237e-14,1.3579881423614961e-17,-0.07241917847123551,-5.209237042993066e-18
0.12919999999999998,11.21844667398274,-1.9291681409283415e-14,381.583222935786,0.011031546285694215,-1.8970280162665595e-17,0.3752260101590401,7.692410887127231e-13,-73.64613348392331,-1.286026363945051e-13,7.564254590318936e-17,-0.07241918189747816,-1.2646010424406008e-17
0.14212,11.072335850433825,1.3374408311246772e-15,386.8257663585876,0.010892043960989145,1.3156631558697773e-18,0.3805270459038659,1.1854275814501665e-13,-73.42989357433152,1.1430871838025438e-14,1.1661251522837757e-17,-0.07223422768837315,1.1244741873263137e-18
0.15503999999999998,10.907366919322453,-6.998685667335816e-16,391.35069786827086,0.010733649491704255,-6.8872202990365125e-19,0.38511780618752733,5.138758279673692e-13,-73.09035034212891,-2.7259986196722044e-14,5.056915257787703e-17,-0.07192626851201701,-2.6825826906580892e-18
0.16796,10.728071758561965,-6.05102785011714e-15,395.23121717877257,0.010560825929056477,-5.956695038505772e-18,0.38906973967832864,4.178172523514719e-13,-72.6933480504624,-1.7817030650285375e-14,4.113036686876176e-17,-0.07156009134153636,-1.7539271129516554e-18
0.18087999999999999,10.538334859139683,-5.940620679951798e-15,398.5352021034124,0.010377405108009528,-5.849902115741992e-18,0.3924492149196322,-4.4449663320685583e-14,-72.31043447613625,-1.0099845300256568e-14,-4.377087740700652e-18,-0.07120618979422949,-9.945611674892717e-19
0.1938,10.341450270242193,6.71075972261388e-15,401.3261354493126,0.010186641893801897,6.610301683345616e-18,0.39531840482851716,-5.720728180448176e-13,-72.0224363141097,6.955727709377157e-14,-5.63509061332475e-17,-0.07094428226978333,6.851602573587644e-18
0.20672,10.140154521312379,2.945593978027096e-14,403.66402529153874,0.009991245109660435,2.9023375695264535e-17,0.39773616961785224,1.058479275990306e-12,-71.9245882716452,7.430081886731841e-14,1.0429353781234424e-16,-0.07086836687971985,7.320970223792821e-18
0.21963999999999997,9.936643800973734,-2.6614162739553837e-14,405.60660816243274,0.009793393210476235,-2.6230482434171042e-17,0.39975922273806413,-6.971742741605545e-14,-72.13433178492946,-1.4625252229319872e-13,-6.871235338448578e-18,-0.07109441470323628,-1.441440880371377e-17
0.23256,9.732539041687684,2.3292012290166727e-14,407.21082531735595,0.00959469880045386,2.2962131610608614e-17,0.4014435699121276,-1.092609449256103e-12,-72.80340965043531,1.7709278152109314e-13,-1.0771350135086865e-16,-0.07177230774517952,1.7458464755717292e-17
0.24547999999999998,9.52881886304333,-2.307756242679767e-14,408.5354247910021,0.009396141486316628,-2.2756235042150926e-17,0.40284705887280603,2.6127377449606355e-12,-74.13539064299032,-2.7261214480525927e-13,2.576358504777923e-16,-0.07310314422352386,-2.688163475761943e-17
