Time (s),X Position of the First Airplane's CG in Earth Axes Relative to the Earth Origin (m),Y Position of the First Airplane's CG in Earth Axes Relative to the Earth Origin (m),Z Position of the First Airplane's CG in Earth Axes Relative to the Earth Origin (m),X Velocity of the First Airplane's CG in Earth Axes Observed from the Earth Frame (m/s),Y Velocity of the First Airplane's CG in Earth Axes Observed from the Earth Frame (m/s),Z Velocity of the First Airplane's CG in Earth Axes Observed from the Earth Frame (m/s),"Roll Angle of the First Airplane's Body Axes Relative to Earth Axes Using an Intrinsic zy'x"" Sequence (deg)","Pitch Angle of the First Airplane's Body Axes Relative to Earth Axes Using an Intrinsic zy'x"" Sequence (deg)","Yaw Angle of the First Airplane's Body Axes Relative to Earth Axes Using an Intrinsic zy'x"" Sequence (deg)",Roll Rate in the First Airplane's Body Axes Observed from the Earth Frame (deg/s),Pitch Rate in the First Airplane's Body Axes Observed from the Earth Frame (deg/s),Yaw Rate in the First Airplane's Body Axes Observed from the Earth Frame (deg/s),Angle of Attack (deg),Sideslip Angle (deg)
0.0,0.0,0.0,0.0,12.9,-0.0,-0.0,0.0,3.3,0.0,0.0,0.0,0.0,3.3,0.0
0.01292,0.16666799999999998,0.0,0.0,12.9,-0.0,-0.0,0.0,3.3000000000000003,0.0,0.0,0.0,0.0,3.3,-0.0
0.02584,0.33333599999999997,0.0,0.0,12.9,-0.0,-0.0,0.0,3.3000000000000003,0.0,0.0,0.0,0.0,3.3,-0.0
0.038759999999999996,0.5000039999999999,0.0,0.0,12.9,-0.0,-0.0,0.0,3.3000000000000003,0.0,0.0,0.0,0.0,3.3,-0.0
0.05168,0.6666719999999999,0.0,0.0,12.9,-0.0,-0.0,0.0,3.3000000000000003,0.0,0.0,0.0,0.0,3.3,-0.0
0.06459999999999999,0.83334,0.0,0.0,12.9,-0.0,-0.0,0.0,3.3000000000000003,0.0,0.0,0.0,0.0,3.3,-0.0
0.07751999999999999,0.9999867178435399,-1.1702559660352066e-21,0.00013323114556217477,12.896705548535582,-1.8115417430885553e-19,0.020624016340893947,-3.070836214145682e-18,3.299137014107974,-2.3296197364306347e-19,-4.73285670620788e-16,-0.13358914737257588,-3.6007717055414304e-17,3.3907625909799584,-7.54792422975149e-19
0.09043999999999999,1.1665918715463772,-2.783493780807321e-20,0.0005151989596264883,12.893565922491867,-3.9465055535608045e-18,0.03850412825110494,-4.301150186422387e-18,3.296536112500895,2.402428341492617e-19,2.786206321837849e-16,-0.26902720047239864,1.0911486321400995e-16,3.4676383116774976,-1.8070685684140572e-17
0.10336,1.3331574737746965,-8.991145233646151e-20,0.0011127205584174561,12.89058302926034,-5.662862020493116e-18,0.05399147527690851,-2.5253321071613226e-17,3.2921788168590744,-2.626907634375092e-19,-3.5175128611391153e-15,-0.4054767688496715,-1.8702973582118789e-16,3.5321575336091655,-2.6513445916892547e-17
0.11628,1.4996855332884762,-1.7679346034910818e-19,0.0018968216933444764,12.887754356773677,-7.786365226046615e-18,0.06738640938671692,-8.015772638167088e-17,3.2860559480275033,-3.2011420913699717e-18,-4.955514167758033e-15,-0.5423357437773283,-2.67971288236448e-16,3.5856365857853514,-3.649922885699175e-17
0.12919999999999998,1.6661780142306668,-3.108203836345695e-19,0.002842200166392809,12.885075510438485,-1.2960836520928832e-17,0.07895700749382994,-1.5177301284562984e-16,3.278165220418906,-6.490265534201711e-18,-6.101284429991899e-15,-0.6791391182347011,-2.4284832712851697e-16,3.629257200138292,-6.08707654729798e-17
0.14212,1.8326368172255532,-4.893869706851555e-19,0.003926843105139701,12.882541052237427,-1.468105001940956e-17,0.08894437621311935,-2.170147155681156e-16,3.268509589038703,-8.03575871201329e-18,-3.984375405617376e-15,-0.8155406619823713,-8.390106176427498e-19,3.664088099098127,-7.127202934762458e-17
0.15503999999999998,1.9990637689008355,-6.829516399426155e-19,0.005131696583368407,12.880144965608121,-1.528252107307651e-17,0.09756545013807383,-2.4691385958759076e-16,3.257095725314012,-6.147980288601732e-18,-6.606139800097973e-16,-0.951311307784123,2.8542047713791154e-16,3.6910956236459063,-7.78899073040078e-17
