INFO    |movements.movement                          |Starting analytical delta_time optimization
INFO    |movements.movement                          |              Mismatch: 0.260
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 46
INFO    |movements.movement                          |              delta_time: 0.0217 s
INFO    |movements.movement                          |              Mismatch: 0.273
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 47
INFO    |movements.movement                          |              delta_time: 0.0213 s
INFO    |movements.movement                          |              Mismatch: 0.286
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 48
INFO    |movements.movement                          |              delta_time: 0.0208 s
INFO    |movements.movement                          |              Mismatch: 0.298
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 49
INFO    |movements.movement                          |              delta_time: 0.0204 s
INFO    |movements.movement                          |              Mismatch: 0.310
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 50
INFO    |movements.movement                          |              delta_time: 0.0200 s
INFO    |movements.movement                          |              Mismatch: 0.321
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 51
INFO    |movements.movement                          |              delta_time: 0.0196 s
INFO    |movements.movement                          |              Mismatch: 0.333
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 52
INFO    |movements.movement                          |              delta_time: 0.0192 s
INFO    |movements.movement                          |              Mismatch: 0.343
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 53
INFO    |movements.movement                          |              delta_time: 0.0189 s
INFO    |movements.movement                          |              Mismatch: 0.354
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 54
INFO    |movements.movement                          |              delta_time: 0.0185 s
INFO    |movements.movement                          |              Mismatch: 0.364
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 55
INFO    |movements.movement                          |              delta_time: 0.0182 s
INFO    |movements.movement                          |              Mismatch: 0.374
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 56
INFO    |movements.movement                          |              delta_time: 0.0179 s
INFO    |movements.movement                          |              Mismatch: 0.383
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 57
INFO    |movements.movement                          |              delta_time: 0.0175 s
INFO    |movements.movement                          |              Mismatch: 0.392
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 58
INFO    |movements.movement                          |              delta_time: 0.0172 s
INFO    |movements.movement                          |              Mismatch: 0.401
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 59
INFO    |movements.movement                          |              delta_time: 0.0169 s
INFO    |movements.movement                          |              Mismatch: 0.410
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 60
INFO    |movements.movement                          |              delta_time: 0.0167 s
INFO    |movements.movement                          |              Mismatch: 0.418
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 61
INFO    |movements.movement                          |              delta_time: 0.0164 s
INFO    |movements.movement                          |              Mismatch: 0.427
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 62
INFO    |movements.movement                          |              delta_time: 0.0161 s
INFO    |movements.movement                          |              Mismatch: 0.435
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 63
INFO    |movements.movement                          |              delta_time: 0.0159 s
INFO    |movements.movement                          |              Mismatch: 0.442
INFO    |movements.movement                          |          Best:
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 30
INFO    |movements.movement                          |            delta_time: 0.0333 s
INFO    |movements.movement                          |            Mismatch: 0.0190
INFO    |movements.movement                          |          Optimization complete
INFO    |convergence                                 |          Starting simulation
INFO    |convergence                                 |          Simulation completed in 0.0431 s
INFO    |convergence                                 |          Wake type convergence: not checked
INFO    |convergence                                 |          Wake length convergence: not checked
INFO    |convergence                                 |          Panel aspect ratio convergence: not checked
INFO    |convergence                                 |          Number of chordwise Panels convergence: not checked
INFO    |convergence                                 |        Chordwise Panels: 4
INFO    |convergence                                 |          Iteration number: 2/96
INFO    |movements.movement                          |          Starting analytical delta_time optimization
INFO    |movements.movement                          |            Result:
INFO    |movements.movement                          |              delta_time: 0.0244 s
INFO    |movements.movement                          |              Steps per LCM period: 41
INFO    |movements.movement                          |          Analytical optimization complete
INFO    |movements.movement                          |          Starting delta_time optimization
INFO    |movements.movement                          |            Searching:
INFO    |movements.movement                          |              num_steps_per_lcm_cycle: 20 to 83
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 20
INFO    |movements.movement                          |              delta_time: 0.0500 s
INFO    |movements.movement                          |              Mismatch: 0.626
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 21
INFO    |movements.movement                          |              delta_time: 0.0476 s
INFO    |movements.movement                          |              Mismatch: 0.579
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 22
INFO    |movements.movement                          |              delta_time: 0.0455 s
INFO    |movements.movement                          |              Mismatch: 0.534
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 23
INFO    |movements.movement                          |              delta_time: 0.0435 s
INFO    |movements.movement                          |              Mismatch: 0.492
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 24
INFO    |movements.movement                          |              delta_time: 0.0417 s
INFO    |movements.movement                          |              Mismatch: 0.453
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 25
INFO    |movements.movement                          |              delta_time: 0.0400 s
INFO    |movements.movement                          |              Mismatch: 0.415
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 26
INFO    |movements.movement                          |              delta_time: 0.0385 s
INFO    |movements.movement                          |              Mismatch: 0.379
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 27
INFO    |movements.movement                          |              delta_time: 0.0370 s
INFO    |movements.movement                          |              Mismatch: 0.345
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 28
INFO    |movements.movement                          |              delta_time: 0.0357 s
INFO    |movements.movement                          |              Mismatch: 0.313
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 29
INFO    |movements.movement                          |              delta_time: 0.0345 s
INFO    |movements.movement                          |              Mismatch: 0.282
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 30
INFO    |movements.movement                          |              delta_time: 0.0333 s
INFO    |movements.movement                          |              Mismatch: 0.252
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 31
INFO    |movements.movement                          |              delta_time: 0.0323 s
INFO    |movements.movement                          |              Mismatch: 0.224
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 32
INFO    |movements.movement                          |              delta_time: 0.0312 s
INFO    |movements.movement                          |              Mismatch: 0.197
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 33
INFO    |movements.movement                          |              delta_time: 0.0303 s
INFO    |movements.movement                          |              Mismatch: 0.172
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 34
INFO    |movements.movement                          |              delta_time: 0.0294 s
INFO    |movements.movement                          |              Mismatch: 0.147
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 35
INFO    |movements.movement                          |              delta_time: 0.0286 s
INFO    |movements.movement                          |              Mismatch: 0.123
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 36
INFO    |movements.movement                          |              delta_time: 0.0278 s
INFO    |movements.movement                          |              Mismatch: 0.101
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 37
INFO    |movements.movement                          |              delta_time: 0.0270 s
INFO    |movements.movement                          |              Mismatch: 0.0788
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 38
