Elapsed Time (s),Displacement (mm)
0,0
0.000588235,0
0.00117647,0.475971
0.001764706,0.673124643
0.002352941,0.673124643
0.002941177,1.064304406
0.003529412,1.064304406
0.004117647,1.064304406
0.004705882,1.064304406
0.005294117,1.716135905
0.005882353,1.716135905
0.006470588,1.716135905
0.007058823,2.128612836
0.007647058,2.128612836
0.008235294,2.128612836
0.008823529,2.379858
0.009411765,2.775366748
0.009999999,2.775366748
0.010588235,2.775366748
0.01117647,2.775366748
0.011764705,3.432282349
0.01235294,3.432282349
0.012941175,3.432282349
0.013529411,3.837406464
0.014117646,3.837406464
0.014705882,3.837406464
0.015294117,4.490305779
0.015882352,4.490305779
0.016470587,4.490305779
0.017058823,4.490305779
0.017647058,4.900424676
0.018235294,4.900424676
0.018823529,4.900424676
0.019411763,5.550730067
0.019999999,5.550730067
0.020588234,5.550730067
0.02117647,5.550730067
0.021764705,5.963900574
0.02235294,5.963900574
0.022941175,6.205903343
0.023529411,6.61240888
0.024117646,6.61240888
0.024705881,6.61240888
0.025294116,7.027635182
0.025882352,7.027635182
0.026470587,7.265389005
0.027058822,7.265389005
0.027647057,7.674807967
0.028235292,7.674807967
0.028823528,7.674807967
0.029411763,8.326096815
0.029999999,8.326096815
0.030588234,8.326096815
0.031176469,8.326096815
0.031764704,8.737670049
0.03235294,8.737670049
0.032941175,8.737670049
0.03352941,9.387618088
0.034117645,9.387618088
0.03470588,9.387618088
0.035294116,9.387618088
0.035882351,9.800844496
0.036470587,9.800844496
0.037058821,9.800844496
0.037647057,10.44970492
0.038235292,10.44970492
0.038823528,10.44970492
0.039411763,10.44970492
0.039999998,10.86424837
0.040588233,10.86424837
0.041176468,11.10146871
0.041764704,11.51221443
0.042352939,11.51221443
0.042941174,11.51221443
0.043529409,11.51221443
0.044117645,12.1629348
0.04470588,12.1629348
0.045294116,12.1629348
0.04588235,12.1629348
0.046470586,12.57498081
0.047058821,12.57498081
0.047647056,12.81588632
0.048235292,12.81588632
0.048823527,13.22480048
0.049411762,13.22480048
0.049999997,13.22480048
0.050588233,13.22480048
0.051176468,13.87684403
0.051764703,13.87684403
0.052352938,13.87684403
0.052941174,14.28710992
0.053529409,14.28710992
0.054117645,14.28710992
0.054705879,14.28710992
0.055294114,14.93819905
0.05588235,14.93819905
0.056470585,14.93819905
0.057058821,14.93819905
0.057647056,15.34961593
0.058235291,15.34961593
0.058823526,15.34961593
0.059411762,16.00002701
0.059999997,16.00002701
0.060588233,16.00002701
0.061176467,16.00002701
0.061764703,16.41234995
0.062352938,16.41234995
0.062941173,16.41234995
0.063529409,16.65215933
0.064117644,17.06208339
0.064705879,17.06208339
0.065294114,17.06208339
0.06588235,17.06208339
0.066470585,17.71356529
0.06705882,17.71356529
0.067647055,17.71356529
0.068235291,18.1244856
0.068823526,18.1244856
0.069411761,18.1244856
0.069999996,18.1244856
0.070588231,18.77522401
0.071176467,18.77522401
0.071764702,18.77522401
0.072352938,18.77522401
0.072941172,19.1870224
0.073529408,19.1870224
0.074117643,19.1870224
0.074705879,19.1870224
0.075294114,19.83724392
0.075882349,19.83724392
0.076470584,19.83724392
0.077058819,19.83724392
0.077647055,20.24973629
0.07823529,20.24973629
0.078823526,20.48887544
0.07941176,20.89942989
0.079999996,20.89942989
0.080588231,20.89942989
0.081176467,20.89942989
0.081764701,20.89942989
0.082352937,21.55051354
0.082941172,21.55051354
0.083529407,21.55051354
0.084117643,21.55051354
0.084705878,21.96185535
0.085294113,21.96185535
0.085882348,21.96185535
0.086470584,22.61236834
0.087058819,22.61236834
0.087647055,22.61236834
0.088235289,22.61236834
0.088823525,22.61236834
0.08941176,23.02441894
0.089999996,23.26425209
0.090588231,23.26425209
0.091176466,23.6745273
0.091764701,23.6745273
0.092352936,23.6745273
0.092941172,23.6745273
0.093529407,24.32580386
